Supplier_ID,Year,Financial_Stability_Score,Delivery_Performance_Score,Quality_Compliance_Score,Regulatory_Adherence_Score,Sustainability_Score,Past_Risk_Level,ERP_Transactions,Incidents_Count,MCDM_Score,Risk_Category,Risk_Score_Equal,Risk_Score_Priority,Risk_Class_Equal,Risk_Class_Priority
52,2025,0.43,0.87,0.8,0.78,0.37,0.46,422,3,0.66,Medium,0.49983530254206937,0.5221466165413534,Medium Risk,Medium Risk
24,2023,0.31,0.98,0.92,0.68,0.43,0.18,363,11,0.67,Medium,0.507468671679198,0.523409022556391,Medium Risk,Medium Risk
89,2021,0.67,0.64,0.52,0.99,0.46,0.09,495,18,0.66,Medium,0.5521750805585391,0.5686796992481202,Medium Risk,Medium Risk
55,2024,0.71,0.43,0.8,0.67,0.35,0.95,365,13,0.62,Medium,0.7360096670247047,0.694921052631579,High Risk,High Risk
9,2022,0.37,0.81,0.72,0.65,0.65,0.03,255,16,0.62,Medium,0.5748245614035087,0.5945105263157895,Medium Risk,Medium Risk
36,2022,0.76,0.59,0.76,0.82,0.43,0.97,267,11,0.69,Medium,0.6170605084138919,0.5789375939849624,Medium Risk,Medium Risk
34,2022,0.93,0.76,0.96,0.64,0.44,0.05,345,15,0.8,High,0.44563909774436083,0.36534736842105264,Medium Risk,Medium Risk
82,2025,0.71,0.98,0.8,0.71,0.51,0.17,394,6,0.78,High,0.3940583601861798,0.354436090225564,Medium Risk,Medium Risk
9,2021,0.44,0.4,0.91,0.88,0.81,0.77,310,9,0.63,Medium,0.5421589688506981,0.6276255639097744,Medium Risk,Medium Risk
41,2024,0.9,0.77,0.67,0.63,0.52,0.33,148,11,0.74,High,0.5294074471894021,0.44519473684210525,Medium Risk,Medium Risk
86,2023,0.69,0.63,0.99,0.94,0.81,0.24,447,6,0.78,High,0.29382026494808455,0.34910751879699253,Low Risk,Medium Risk
27,2021,0.8,0.47,0.72,0.68,0.93,0.48,145,3,0.7,Medium,0.4667060508413891,0.47423233082706767,Medium Risk,Medium Risk
94,2025,0.47,0.65,0.88,0.69,0.35,0.29,135,1,0.62,Medium,0.5180970282849983,0.5565345864661654,Medium Risk,Medium Risk
42,2025,0.51,0.46,0.73,0.69,0.59,0.88,177,6,0.58,Medium,0.6709291084854995,0.6942075187969925,High Risk,High Risk
62,2021,0.49,0.79,0.5,0.74,0.51,0.16,460,8,0.61,Medium,0.5728034371643395,0.5873195488721805,Medium Risk,Medium Risk
62,2025,0.78,0.56,0.62,0.67,0.45,0.56,229,16,0.64,Medium,0.6886340852130325,0.6302962406015038,High Risk,Medium Risk
62,2021,0.48,0.55,0.85,0.88,0.4,1.0,236,16,0.62,Medium,0.6845864661654134,0.6995676691729323,High Risk,High Risk
2,2022,0.59,0.42,0.67,0.85,0.78,0.53,267,5,0.62,Medium,0.5278320802005012,0.5908300751879699,Medium Risk,Medium Risk
32,2024,0.36,0.62,0.62,0.92,0.63,0.98,444,15,0.59,Medium,0.6865234514858575,0.7297473684210526,High Risk,High Risk
16,2021,0.41,0.7,0.85,0.94,0.53,0.22,395,2,0.66,Medium,0.3985069817400645,0.4899548872180451,Medium Risk,Medium Risk
19,2024,0.75,0.5,0.85,0.75,0.96,0.14,490,17,0.73,High,0.4581936985320444,0.4701879699248121,Medium Risk,Medium Risk
23,2022,0.48,0.8,0.91,0.82,0.67,0.24,353,11,0.72,High,0.4280809165771572,0.4637233082706767,Medium Risk,Medium Risk
69,2025,0.92,0.51,0.64,0.88,0.89,0.86,103,0,0.75,High,0.4240136054421768,0.42324285714285714,Medium Risk,Medium Risk
24,2024,0.36,0.5,0.95,0.84,0.31,0.1,148,17,0.58,Medium,0.6040100250626567,0.6747593984962406,Medium Risk,High Risk
82,2022,0.78,0.79,0.61,0.88,0.47,0.33,453,7,0.73,High,0.4571213748657357,0.43688496240601504,Medium Risk,Medium Risk
7,2023,0.76,0.74,0.55,0.75,0.49,0.24,87,5,0.68,Medium,0.504702828499821,0.4810300751879699,Medium Risk,Medium Risk
51,2023,0.6,0.61,0.82,0.87,0.9,0.23,353,18,0.72,High,0.46095059076262085,0.4970368421052633,Medium Risk,Medium Risk
4,2023,0.84,0.43,1.0,0.79,0.5,0.88,429,8,0.73,High,0.5312728249194414,0.511890977443609,Medium Risk,Medium Risk
37,2025,0.6,0.98,0.98,0.94,0.51,0.39,210,2,0.81,High,0.28428929466523456,0.305012030075188,Low Risk,Low Risk
18,2021,0.58,0.91,0.97,0.63,0.45,0.67,200,1,0.74,High,0.4633351235230935,0.43399172932330826,Medium Risk,Medium Risk
27,2022,0.91,0.84,0.85,0.88,0.55,0.29,296,2,0.84,High,0.2904797708557107,0.2639548872180451,Low Risk,Low Risk
50,2021,0.73,0.45,0.5,0.85,0.44,0.07,449,13,0.6,Medium,0.6045130683852487,0.620063909774436,Medium Risk,Medium Risk
76,2023,0.54,0.63,0.55,0.83,0.33,0.47,112,16,0.59,Medium,0.695436806301468,0.6944248120300753,High Risk,High Risk
52,2022,0.88,0.62,0.56,0.81,0.84,0.22,54,6,0.74,High,0.4177318295739348,0.41040751879699244,Medium Risk,Medium Risk
68,2025,0.44,0.65,0.85,0.66,0.39,0.97,155,18,0.6,Medium,0.7603043322592196,0.733093984962406,High Risk,High Risk
17,2023,0.61,0.45,0.51,0.99,0.89,0.7,178,0,0.63,Medium,0.4765646258503401,0.5596142857142857,Medium Risk,Medium Risk
34,2021,0.76,0.57,0.98,0.9,0.69,0.61,296,2,0.77,High,0.358234872896527,0.388512030075188,Medium Risk,Medium Risk
76,2022,0.55,0.85,0.51,0.65,0.33,0.04,287,19,0.61,Medium,0.6778571428571428,0.6327571428571428,High Risk,Medium Risk
69,2024,0.31,0.86,0.9,0.74,0.63,0.65,299,9,0.66,Medium,0.5316147511636233,0.5636541353383459,Medium Risk,Medium Risk
69,2024,0.33,0.62,0.81,0.8,0.9,0.66,53,15,0.63,Medium,0.5804010025062656,0.6414902255639099,Medium Risk,Medium Risk
24,2022,0.32,0.75,0.97,0.83,0.57,0.64,466,18,0.66,Medium,0.5821070533476549,0.617893984962406,Medium Risk,Medium Risk
43,2025,0.74,0.89,0.83,0.68,0.49,0.21,351,1,0.76,High,0.3837092731829574,0.3533917293233083,Medium Risk,Medium Risk
35,2021,0.76,0.63,0.84,0.74,0.48,0.5,363,17,0.71,High,0.581016827783745,0.5368593984962405,Medium Risk,Medium Risk
75,2025,0.33,0.65,0.98,0.82,0.6,0.57,276,16,0.64,Medium,0.5734300035803795,0.6261962406015038,Medium Risk,Medium Risk
99,2024,0.56,0.87,0.67,0.97,0.9,0.43,62,2,0.76,High,0.32262262799856783,0.3762548872180451,Low Risk,Medium Risk
30,2021,0.67,0.7,0.69,0.72,0.37,0.05,494,8,0.66,Medium,0.5232116004296455,0.514990977443609,Medium Risk,Medium Risk
19,2024,0.55,0.97,0.84,0.79,0.65,0.08,118,2,0.76,High,0.31758861439312563,0.3411977443609022,Low Risk,Medium Risk
12,2021,0.69,0.53,0.97,0.91,0.38,0.93,235,6,0.71,High,0.5203848907984246,0.531878947368421,Medium Risk,Medium Risk
14,2022,0.61,0.93,0.68,0.65,0.4,0.76,450,5,0.69,Medium,0.5813014679556032,0.5247300751879699,Medium Risk,Medium Risk
7,2025,0.46,0.64,0.95,0.66,0.66,0.23,185,15,0.65,Medium,0.5466595059076261,0.5706616541353384,Medium Risk,Medium Risk
65,2024,0.47,0.94,0.8,0.74,0.8,0.48,413,6,0.73,High,0.42694951664876474,0.4404360902255639,Medium Risk,Medium Risk
91,2022,0.93,0.47,0.75,0.6,0.63,0.06,366,8,0.7,Medium,0.49899391335481563,0.46374812030075185,Medium Risk,Medium Risk
39,2021,0.78,0.54,0.7,0.79,0.36,0.53,166,5,0.66,Medium,0.5590565699964196,0.5457443609022556,Medium Risk,Medium Risk
58,2024,0.98,0.73,0.66,0.62,0.95,0.92,213,2,0.8,High,0.4578947368421052,0.3769977443609023,Medium Risk,Medium Risk
19,2024,0.35,0.5,0.61,0.72,1.0,0.7,308,15,0.56,Medium,0.6759112065878984,0.7320616541353384,High Risk,High Risk
87,2021,0.94,0.98,0.53,0.76,0.37,0.34,171,3,0.78,High,0.4367060508413892,0.3491323308270678,Medium Risk,Medium Risk
90,2022,0.46,0.56,0.68,0.7,0.62,0.03,250,0,0.58,Medium,0.49537414965986387,0.5681999999999999,Medium Risk,Medium Risk
84,2025,0.78,0.5,0.96,0.93,0.96,0.73,352,1,0.79,High,0.32034192624418184,0.368806015037594,Low Risk,Medium Risk
10,2022,0.69,0.5,0.71,0.91,0.64,0.99,316,16,0.67,Medium,0.6325116362334408,0.6277533834586467,Medium Risk,Medium Risk
77,2021,0.63,0.65,0.64,0.62,0.91,0.81,400,4,0.66,Medium,0.5615717866093805,0.5510097744360901,Medium Risk,Medium Risk
3,2025,0.71,0.84,0.88,0.75,0.47,0.21,50,18,0.76,High,0.49435195130683857,0.4480796992481204,Medium Risk,Medium Risk
45,2025,0.45,0.93,0.88,0.62,0.49,0.02,299,1,0.69,Medium,0.4133691371285356,0.43124887218045116,Medium Risk,Medium Risk
54,2023,0.66,0.91,0.78,0.82,0.91,0.4,161,14,0.8,High,0.3987325456498389,0.38366992481203,Medium Risk,Medium Risk
23,2025,0.73,0.82,0.61,0.65,0.31,0.35,147,17,0.67,Medium,0.6530236305048335,0.5714451127819549,Medium Risk,Medium Risk
30,2023,0.36,0.84,0.77,0.78,0.94,0.3,155,18,0.68,Medium,0.5034335839598997,0.5408225563909775,Medium Risk,Medium Risk
81,2025,0.86,0.68,0.92,0.91,0.35,0.05,311,1,0.78,High,0.3070766201217329,0.317206015037594,Low Risk,Low Risk
77,2023,0.71,0.6,0.77,0.78,0.71,0.4,449,7,0.7,Medium,0.46766559255281054,0.4780706766917294,Medium Risk,Medium Risk
4,2024,0.54,0.94,0.74,0.87,0.42,0.19,452,4,0.72,High,0.4044629430719657,0.423224060150376,Medium Risk,Medium Risk
